Run,Bases,BioProject,Bytes,stool_sample_id,public_client_id,genome_id,blood_sample_id,blood_days_in_program,stool_days_in_program
SRR18749138,140467600,PRJNA826648,79063754,22001612562435,01440882,DS-267513,A972BH440-002,15,8
SRR18747450,89981994,PRJNA826530,57217379,AV15-1215,01441230,337682,A428AS840-002,36,36
SRR18747806,78092626,PRJNA826530,49447623,AV15-1067,01441946,A941AR620-005,A941AR603-002,16,16
SRR18748903,114763005,PRJNA826648,61051878,22001612560580,01442539,DS-268026,A202BI853-002,35,7
SRR27023074,63715848,PRJNA1047679,40243009,AV15-1964,01443339,DS-232551,A939AW339-002,21,20
SRR27023097,135660000,PRJNA1047679,78024469,22001612560012,01445177,DS-277289,A776BI458-003,6,6
SRR27023177,78391316,PRJNA1047679,49932025,AV15-1361,01445596,A253AU395-007,A253AU416-002,11,11
SRR27023240,99437164,PRJNA1047679,61164117,AV15-3645,01446014,DS-243910,A904AZ339-002,8,12
SRR27023256,54743100,PRJNA1047679,33647137,AV15-2087,01446281,DS-162044,A028AY186-002,83,96
SRR18747650,95409116,PRJNA826530,59104849,AV15-1654,01446584,A847AU017-007,A847AU049-002,17,17
SRR18747393,63219345,PRJNA826530,39018341,22001612560138,01446768,DS-266049,A007BG764-003,6,5
SRR18749262,244052340,PRJNA826648,142554256,22001612561122,01447095,DS-280700,A020BJ287-002,7,22
SRR18747545,93143590,PRJNA826530,56271184,AV15-3636,01447446,DS-244220,A904AZ485-002,6,1
SRR18747484,167056564,PRJNA826530,107408773,AV15-1118,01447790,A536AT436-004,A536AT449-002,32,32
SRR18749482,55246940,PRJNA826648,31100445,22001803513633,01448060,DS-296992,A308BM834-003,14,36
SRR18747720,187246000,PRJNA826530,120982598,AV15-1139,01448990,A936AS438-005,A936AS462-002,43,43
SRR18749364,115468080,PRJNA826648,65937108,22001612561728,01449363,DS-271194,A089BI654-002,23,8
SRR18749426,86467780,PRJNA826648,45460017,22001612560969,01449403,DS-270269,A168BH936-003,26,9
SRR18748058,214766644,PRJNA826530,132985872,AV15-1086,01449674,A595AV269-007,A941AR752-002,14,14
SRR27023200,129012065,PRJNA1047679,72814101,22001612561743,01449816,DS-280499,A926BI413-007,15,17
SRR18749092,137048135,PRJNA826648,80426663,22001612562150,01451049,DS-279808,A777BI784-004,9,8
SRR18747929,77887810,PRJNA826530,50518812,AV15-1643,01451175,A479AV434-007,A479AV469-002,6,8
SRR27023100,158833465,PRJNA1047679,98680660,22001612560709,01452282,DS-280389,A860BI342-002,26,6
SRR18748933,100538340,PRJNA826648,60853318,22001612561000,01453593,DS-268997,A308BH440-003,16,25
SRR18749008,101714060,PRJNA826648,55170055,22001701510371,01453805,DS-286071,A611BL125-002,136,162
SRR18748068,90772644,PRJNA826530,57976089,AV15-1493,01455394,A107AU159-006,A107AU120-002,18,18
SRR18748065,103643422,PRJNA826530,66387337,AV15-1511,01456670,A017AU911-007,A018AU006-002,39,39
SRR18748801,98163100,PRJNA826648,54606018,22001612562385,01457354,DS-279851,A860BI674-008,27,27
SRR18748086,85781760,PRJNA826530,57894479,AV15-1321,01457486,A372AW161-006,A719AT776-002,78,78
SRR18749217,113251705,PRJNA826648,73941498,22001701511213,01457675,DS-285381,A404BK256-002,15,5
SRR18749065,213519915,PRJNA826648,123480388,22001612562115,01457928,DS-282274,A313BJ094-002,41,41
SRR18747454,86253138,PRJNA826530,54669622,AV15-1085,01458106,A941AR545-005,A941AR578-002,13,13
SRR18749389,134163575,PRJNA826648,74233114,22001612562041,01458643,DS-269037,A972BH531-002,16,2
SRR18747580,86434360,PRJNA826530,56428206,AV15-1599,01459834,A000AV109-007,A000AV139-002,7,28
SRR18749399,85209355,PRJNA826648,47090466,22001612561639,01460874,DS-268032,A203BI291-012,29,6
SRR18747659,82860120,PRJNA826530,52201612,AV15-1514,01462140,A538AU189-007,A538AU228-002,21,21
SRR18749339,204512210,PRJNA826648,122315589,22001612561275,01463203,DS-277080,A710BI116-003,13,15
SRR27023080,86255648,PRJNA1047679,56607593,AV15-1670,01463212,A565AV494-007,A565AV523-002,15,16
SRR27023279,146168890,PRJNA1047679,96210459,22001612560958,01463699,DS-290848,A132BK188-002,3,3
SRR27022997,137315290,PRJNA1047679,78960111,22001612562227,01463928,DS-265263,A089BI804-002,26,8
SRR18747437,80229138,PRJNA826530,51405558,AV15-1363,01464238,A567AW275-007,A127AU644-002,37,37
SRR18747542,63550188,PRJNA826530,38771835,AV15-3661,01464386,DS-244231,A904AZ477-002,6,5
SRR18749272,207060000,PRJNA826648,121967963,22001612560500,01465504,DS-280887,A020BJ338-002,14,38
SRR18748808,111275293,PRJNA826648,64072402,22001612560181,01465880,DS-268575,A137BG394-005,24,35
SRR18749492,63385945,PRJNA826648,39517465,22001612561369,01466144,DS-267984,A862BF407-003,10,17
SRR18747502,64085822,PRJNA826530,40855321,AV15-1166,01466698,A936AS434-005,A936AS466-002,51,51
SRR18749254,179210430,PRJNA826648,106711995,22001612561708,01467082,DS-278835,A439BJ886-002,19,23
SRR18747400,91514600,PRJNA826530,59276162,AV15-1025,01467650,A939AV033-007,A934AR236-002,22,22
SRR27023234,116521168,PRJNA1047679,66649550,22001612562589,01471106,DS-268125,A421BG180-003,16,20
SRR18747887,81303920,PRJNA826530,52810649,AV15-1961,01471179,DS-232522,A057AX467-002,33,60
SRR18749221,114084705,PRJNA826648,73956158,22001701511005,01471283,DS-291947,A265BK888-009,8,18
SRR18747404,100356326,PRJNA826530,61869294,AV15-3699,01471958,DS-243961,A902AZ333-002,13,10
SRR18747863,70687624,PRJNA826530,42648201,AV15-3945,01472130,DS-243950,A904AZ378-002,9,2
SRR27023176,81524298,PRJNA1047679,52297862,AV15-1403,01472318,A294AU444-007,A294AU418-002,31,31
SRR18747721,161250432,PRJNA826530,103482892,AV15-1136,01474458,A981AU868-007,A545AS687-002,36,38
SRR18749108,90282920,PRJNA826648,54031349,22001612561675,01474611,DS-265239,A089BI800-002,25,14
SRR18749075,134465240,PRJNA826648,73368888,22001612560480,01474725,DS-279883,A861BI012-002,13,18
SRR18748100,101477794,PRJNA826530,68922584,AV15-1277,01475906,A597AT747-004,A597AT756-002,113,113
SRR18748740,192762150,PRJNA826648,105223817,22001701510442,01476994,DS-290927,A132BK311-002,43,21
SRR18747672,67373922,PRJNA826530,42621341,AV15-1458,01477676,A578AU677-007,A578AU708-002,14,14
SRR27023134,131142982,PRJNA1047679,79852175,AV15-2660,01478283,DS-255558,A005BE470-003,10,6
SRR18749041,247806790,PRJNA826648,153454747,22001701510563,01478952,DS-283997,A850BJ122-008,9,17
SRR18748066,95792644,PRJNA826530,62072602,AV15-1499,01480878,A567AW284-006,A107AU133-002,18,18
SRR18747547,55663266,PRJNA826530,33796474,AV15-3624,01480898,DS-244316,A904AZ198-002,17,3
SRR18747471,60489494,PRJNA826530,33551957,AV15-1129,01481374,A939AV041-006,A591AT157-002,20,20
SRR27023060,57070615,PRJNA1047679,35461775,22001612561549,01482624,DS-267291,A862BF299-003,11,14
SRR27023198,61943286,PRJNA1047679,35478578,AV15-1202,01482954,A115AW816-007,A536AT444-002,69,69
SRR18748061,82457014,PRJNA826530,51477144,AV15-1346,01483528,A294AU438-007,A294AU421-002,11,11
SRR18749446,97556200,PRJNA826648,49043564,22001612560204,01483595,DS-270705,A498BH931-003,87,76
SRR18747483,92552234,PRJNA826530,58412005,AV15-1216,01483778,A428AS711-005,A428AS823-002,54,54
SRR18749176,60647755,PRJNA826648,30955933,22001612561782,01483880,DS-269512,A808BG275-003,8,8
